image,actual,rater,estimate,method,error,abs_error
set_16_14_obj9.png,23.59,R2OLD,11,aidedold,-12.59,12.59
set_16_14_obj9.png,23.59,R1NEW,20,aidednew,-3.59,3.59
set_16_14_obj9.png,23.59,R2NEW,9,aidednew,-14.59,14.59
set_16_15_obj1.png,6.99,R1OLD,5.6,aidedold,-1.3900000000000006,1.3900000000000006
set_16_15_obj1.png,6.99,R2OLD,7,aidedold,0.009999999999999787,0.009999999999999787
set_16_15_obj1.png,6.99,R1NEW,8,aidednew,1.0099999999999998,1.0099999999999998
set_16_15_obj1.png,6.99,R2NEW,8,aidednew,1.0099999999999998,1.0099999999999998
set_16_15_obj2.png,20.93,R1OLD,10,aidedold,-10.93,10.93
set_16_15_obj2.png,20.93,R2OLD,25,aidedold,4.07,4.07
set_16_15_obj2.png,20.93,R1NEW,11,aidednew,-9.93,9.93
set_16_15_obj2.png,20.93,R2NEW,32,aidednew,11.07,11.07
set_16_16_obj0.png,6.55,R1OLD,8,aidedold,1.4500000000000002,1.4500000000000002
set_16_16_obj0.png,6.55,R2OLD,4,aidedold,-2.55,2.55
set_16_16_obj0.png,6.55,R1NEW,7,aidednew,0.4500000000000002,0.4500000000000002
set_16_16_obj0.png,6.55,R2NEW,3,aidednew,-3.55,3.55
set_16_19_obj1.png,28.92,R1OLD,25,aidedold,-3.9200000000000017,3.9200000000000017
set_16_19_obj1.png,28.92,R2OLD,20,aidedold,-8.920000000000002,8.920000000000002
set_16_19_obj1.png,28.92,R1NEW,23,aidednew,-5.920000000000002,5.920000000000002
set_16_19_obj1.png,28.92,R2NEW,30,aidednew,1.0799999999999983,1.0799999999999983
set_16_2_obj1.png,14.62,R1OLD,15,aidedold,0.3800000000000008,0.3800000000000008
set_16_2_obj1.png,14.62,R2OLD,25,aidedold,10.38,10.38
set_16_2_obj1.png,14.62,R1NEW,12,aidednew,-2.619999999999999,2.619999999999999
set_16_2_obj1.png,14.62,R2NEW,25,aidednew,10.38,10.38
set_16_28_obj0.png,30.83,R1OLD,22,aidedold,-8.829999999999998,8.829999999999998
set_16_28_obj0.png,30.83,R2OLD,40,aidedold,9.170000000000002,9.170000000000002
set_16_28_obj0.png,30.83,R1NEW,25,aidednew,-5.829999999999998,5.829999999999998
set_16_28_obj0.png,30.83,R2NEW,35,aidednew,4.170000000000002,4.170000000000002
set_16_29_obj0.png,26.98,R1OLD,19,aidedold,-7.98,7.98
set_16_29_obj0.png,26.98,R2OLD,13,aidedold,-13.98,13.98
set_16_29_obj0.png,26.98,R1NEW,23,aidednew,-3.9800000000000004,3.9800000000000004
set_16_29_obj0.png,26.98,R2NEW,18,aidednew,-8.98,8.98
set_16_38_obj0.png,7.1,R1OLD,4,aidedold,-3.0999999999999996,3.0999999999999996
set_16_38_obj0.png,7.1,R2OLD,3,aidedold,-4.1,4.1
set_16_38_obj0.png,7.1,R1NEW,5,aidednew,-2.0999999999999996,2.0999999999999996
set_16_38_obj0.png,7.1,R2NEW,4,aidednew,-3.0999999999999996,3.0999999999999996
set_16_39_obj3.png,1.38,R1OLD,2.5,aidedold,1.12,1.12
set_16_39_obj3.png,1.38,R2OLD,3,aidedold,1.62,1.62
set_16_39_obj3.png,1.38,R1NEW,2.5,aidednew,1.12,1.12
set_16_39_obj3.png,1.38,R2NEW,1.5,aidednew,0.1200000000000001,0.1200000000000001
set_16_40_obj0.png,26.35,R1OLD,25,aidedold,-1.3500000000000014,1.3500000000000014
set_16_40_obj0.png,26.35,R2OLD,35,aidedold,8.649999999999999,8.649999999999999
set_16_40_obj0.png,26.35,R1NEW,30,aidednew,3.6499999999999986,3.6499999999999986
set_16_40_obj0.png,26.35,R2NEW,33,aidednew,6.649999999999999,6.649999999999999
set_16_44_obj4.png,5.4,R1OLD,5,aidedold,-0.40000000000000036,0.40000000000000036
set_16_44_obj4.png,5.4,R2OLD,3.3,aidedold,-2.1000000000000005,2.1000000000000005
set_16_44_obj4.png,5.4,R1NEW,3,aidednew,-2.4000000000000004,2.4000000000000004
set_16_44_obj4.png,5.4,R2NEW,5,aidednew,-0.40000000000000036,0.40000000000000036
set_16_44_obj5.png,2.94,R1OLD,2.3,aidedold,-0.6400000000000001,0.6400000000000001
set_16_44_obj5.png,2.94,R2OLD,0.7,aidedold,-2.24,2.24
set_16_44_obj5.png,2.94,R1NEW,2.7,aidednew,-0.23999999999999977,0.23999999999999977
set_16_44_obj5.png,2.94,R2NEW,0.5,aidednew,-2.44,2.44
set_16_55_obj0.png,16.69,R1OLD,14,aidedold,-2.6900000000000013,2.6900000000000013
set_16_55_obj0.png,16.69,R2OLD,14,aidedold,-2.6900000000000013,2.6900000000000013
